Latitude,Longitude,Frequency
41.88350019,-87.6278767,536
41.89789513,-87.62409661,290
41.75459296,-87.74152854,261
41.86818094,-87.70927139,258
41.97629041,-87.90522722,241
41.86854191,-87.63923536,223
41.74271022,-87.63408818,221
41.9790063,-87.90646316,180
41.88171846,-87.62776043,179
41.89941016,-87.62413127,160
41.89169488,-87.62615583,157
41.88239406,-87.6278448,154
41.6959821,-87.59665314,152
41.93722767,-87.64430547,143
41.90966425,-87.74272882,142
41.78898704,-87.74147999,139
41.97685185,-87.65499969,138
41.82467571,-87.61701343,130
41.97676298,-87.90098372,128
41.88574103,-87.63171175,120
41.88347549,-87.62787697,120
41.89199038,-87.6114615,120
41.88433547,-87.61916409,120
41.92974382,-87.68427378,113
41.86821682,-87.6304532,113
41.89275303,-87.6241939,112
41.88465026,-87.62791546,110
41.88433336,-87.61926694,109
41.98082628,-87.88361132,107
41.89688859,-87.62820319,106
41.73625998,-87.62806878,105
41.69590816,-87.59582281,102
41.8951409,-87.62425563,102
41.75761443,-87.58611527,100
42.01939924,-87.67504949,99
41.87363542,-87.71008119,98
41.75094076,-87.62518522,98
41.8807511,-87.72385598,96
41.87660796,-87.62764406,95
41.88233367,-87.62784179,95
41.77730987,-87.64080292,93
41.95390047,-87.9074726,91
41.89671455,-87.62534014,90
42.01849825,-87.67298323,89
41.90399688,-87.64323024,89
41.86221827,-87.63908716,89
41.69283384,-87.60431945,89
41.87390705,-87.72543009,88
42.02206269,-87.67484904,88
41.88188393,-87.64006044,87
41.8814934,-87.62775556,86
41.86681074,-87.62581703,86
41.89500328,-87.62152816,86
41.79290166,-87.75139653,86
41.86625461,-87.71896767,85
41.878639,-87.62769149,85
41.95344334,-87.74495705,85
41.76575557,-87.57629243,84
41.90884995,-87.64664598,82
41.89140473,-87.62806151,82
41.8749748,-87.72547505,82
41.87369942,-87.70470516,81
41.73709431,-87.57299818,81
41.73926587,-87.60489375,80
41.90843054,-87.63850953,79
41.87782218,-87.65518141,79
41.88120318,-87.64734233,77
41.88077543,-87.62702903,75
41.86623545,-87.72051715,74
41.75192833,-87.64407726,74
41.90437011,-87.63146007,73
41.76468239,-87.66378579,73
41.87485061,-87.73527258,73
41.88321078,-87.62990697,73
41.75078272,-87.62581362,73
41.73614812,-87.62907024,72
41.88588808,-87.62794224,71
41.90715332,-87.63968057,71
41.88238916,-87.62437461,71
41.77952077,-87.66096236,71
41.86725154,-87.63959443,70
41.89798294,-87.62409563,69
41.86816541,-87.62743954,68
41.72257838,-87.66270655,67
41.96307079,-87.65598421,66
41.97486195,-87.89037215,66
41.94523828,-87.71267048,66
41.75821482,-87.62411934,66
41.77809913,-87.63382853,65
41.96137851,-87.65474101,65
41.87438184,-87.64153679,65
41.82965153,-87.6144519,64
41.76680404,-87.60561968,64
41.7809464,-87.62199537,64
41.89005157,-87.62891376,64
41.87923585,-87.62434704,64
41.80171934,-87.63070362,64
41.91091418,-87.64857834,63
41.86539738,-87.64066078,63
41.8920174,-87.62416531,63
41.90377576,-87.63932407,62
41.91871165,-87.76551063,61
41.96881582,-87.67461815,61
41.79599104,-87.63054249,61
41.88548189,-87.62793569,61
41.8441627,-87.69519904,61
41.83069725,-87.61447689,61
41.85519055,-87.6238712,61
41.88238173,-87.62941297,61
41.89587761,-87.70656663,61
41.87436328,-87.64301304,60
41.89364666,-87.63117714,60
41.69204178,-87.66592364,60
41.87270906,-87.62418786,60
41.75563372,-87.64417322,60
41.96938944,-87.70048881,60
41.87826021,-87.6254484,59
41.94219754,-87.68824952,59
41.86449368,-87.639158,58
41.82876229,-87.61443616,58
41.78551967,-87.73856753,58
41.878931,-87.63958562,58
41.7216272,-87.62448518,57
41.93004949,-87.68592073,57
41.74988027,-87.66342658,57
41.89250535,-87.62630482,57
41.93158252,-87.74274717,56
41.91115121,-87.63598179,55
41.87380752,-87.69445629,55
41.76599713,-87.66382344,55
41.70698746,-87.62024403,55
41.90347807,-87.6314331,55
41.84680198,-87.62352713,55
