,text,latitude,longitude,Sentiment
0,b'Driving around Chicago. Listening to their house music on the FM dial. Can?t get any more house than this.',41.92169189,-87.66865874,0
31,b'#7for7 tonight! Two new signups for the next term from the #Improv Test-Drive. Welcome to the family! #hustlin? https://t.co/BnK4cVXswC',41.91152457,-87.63531016,0
32,"b'From the depths, te amo! Really digging what I find to be a nice balance between the coffee and cinnamon. - Drinkin? https://t.co/VCXa62NVLn'",41.9539,-87.6834,0
33,b'#FridayNights and #SoulMusic \n#Groovin #Vibin #Chillin #Music #Soul #Rnb #AlGreen #Love  #theManOfManyFaces? https://t.co/qhGADzz6di',42.0411414,-87.69005870000001,0
71,"b""I'm at ??? Meet Fresh in Chicago, IL w/ @tracetraz https://t.co/ajHbDURxGV https://t.co/VDaK4XUZrP""",41.85448031,-87.63020138,0
37,"b'After a win tonight, early flight in the morning, my boy @jake_b0 is taking care of studies! True definition of a? https://t.co/Tw1g7eWcp6'",42.00009154,-87.65871961,0
87,b'Right now ! Pull up bourbonondivision #heartofthecityvol2 @ Bourbon on Division https://t.co/s4Fhh2dSUV',41.90347,-87.67923,0
39,b'Chicago: Seems fitting to have my last wine dinner of the year with an old friend from Wisconsin who?s rocking it i? https://t.co/81AyDLuAwU',42.08008871,-87.69095483,0
40,"b'This #job might be a great fit for you: Assistant GM - Restaurant - https://t.co/0XQfdCxG3A #BostonMarket #FastCasual #Glenview, IL #Hiring'",42.080351799999995,-87.79799109999999,0
41,"b""#32 graceod37  w/ a nice blocked shot. Loyola 40-18 over heated O'D/Welsch rival Naperville North. #32 with 0 pts (? https://t.co/meD1JeLk51""",42.08361,-87.7605,0
43,b'It looks my running coach incorporated the #RunEveryDayChallenge | Day 16 into my Training plan. I was half ready t? https://t.co/8Txmsu6Ma9',41.96269887,-87.6681273,0
85,"b'Welcome back to the Folk You! stage, Tom Henry! silvie_svp #singersongwriter @ Folk You https://t.co/6ckMWqiaIb'",41.95443,-87.67653,0
45,b'Good win for the @loyolaramblers today! #onwardlu #goramblers @ Gentile Arena https://t.co/IZ4tQkxq9E',42.00058383,-87.65916345,0
84,"b'Deliciously bougie. (at @HotelZachary in Chicago, IL) https://t.co/v9CJyfFk36'",41.94766029,-87.65717115,0
47,b'Christian Mullaney capos at the sixth fret; magic follows silvie_svp @west_magnetic #singersongwriter @ Folk You https://t.co/mV93tVtVaV',41.95443,-87.67653,0
50,b'??????? \nLast nights spray at @eastroomchicago for our housepitchi new Thursdays #InArtWeTrust \n#airbrush : iwata_a? https://t.co/5fvDrX3ykD',41.92396,-87.6994,0
51,b'My childhood dream of meeting Tom Servo and having the potential to shake his tiny hand is about to come true.? https://t.co/KG5mpEQ49r',41.93595401,-87.66328869,0
